Toyota Land Cruiser,$ 35 500,https://im.mashina.kg/tachka/images//b/d/f/bdfdc8c903f336cf3745f0f062a5fd58_240x180.jpg,2008г. 4.7л. автоматвнедорожник5дв. бензинрульслева 321000км
BMW X5,$ 35 500,https://im.mashina.kg/tachka/images//4/7/0/4704e1833272ab53eb8fb982fa66f2bc_240x180.jpg,2013г. 4.4л. автоматвнедорожник5дв. бензинрульслева 188000км
Lexus GX,$ 27 000,https://im.mashina.kg/tachka/images//9/e/0/9e03b038c22e46bcc0d2950ae9c1336e_240x180.jpg,2008г. 4.7л. автоматвнедорожник5дв. бензинрульслева 139000км
Land Rover Range Rover,$ 260 000,https://im.mashina.kg/tachka/images//d/7/c/d7c2e50be41edc4811ee44fb32019754_240x180.jpg,2022г. 4.4л. автоматвнедорожник5дв. бензинрульслева
Toyota Camry,$ 16 200,https://im.mashina.kg/tachka/images//4/1/4/41483d7ceaed9fae176e827fcf5c0dd0_240x180.jpg,2016г. 2.5л. автоматседан бензинрульслева 110000км
Honda CR-V,$ 8 500,https://im.mashina.kg/tachka/images//9/f/3/9f342cafc54b8a2286c48ec628e7a46f_240x180.jpg,2002г. 2.4л. автоматвнедорожник5дв. бензинрульслева 260000км
BMW X5,$ 26 200,https://im.mashina.kg/tachka/images//c/5/8/c5847183c167d50ff989f8833da1752a_240x180.jpg,2013г. 3л. автоматвнедорожник5дв. бензинрульслева 200000км
Toyota Land Cruiser Prado,$ 18 900,https://im.mashina.kg/tachka/images//a/c/6/ac66398d032d22bf6536042fed17001a_240x180.jpg,2003г. 3.4л. автоматвнедорожник5дв. бензинрульсправа 160000км
Daihatsu Cuore,$ 5 300,https://im.mashina.kg/tachka/images//8/9/0/8901ac907cfc1956bb18748872584630_240x180.jpg,2008г. 1л. механикахэтчбек5дв. бензинрульслева 210000км
Kia K7,$ 23 700,https://im.mashina.kg/tachka/images//1/3/1/131b9887cf972cdce1b0e2b31c37ff06_240x180.jpg,2019г. 3л. автоматседан газрульслева 119000км
Lexus NX,$ 29 900,https://im.mashina.kg/tachka/images//2/6/8/268c9e61231ef6b723a05ae58039aad5_240x180.jpg,2016г. 2л. автоматвнедорожник5дв. бензинрульслева 149000км
Kia Morning,$ 8 800,https://im.mashina.kg/tachka/images//a/6/6/a66fe1aeca5ea15627e1e6e61572421e_240x180.jpg,2017г. 1л. автоматхэтчбек5дв. бензинрульслева 9000км
Hyundai Sonata,$ 11 000,https://im.mashina.kg/tachka/images//8/4/c/84cf905e6814a17825567800207bbcdb_240x180.jpg,2017г. 2л. автоматседан газрульслева 10000км
Kia K7,$ 27 000,https://im.mashina.kg/tachka/images//f/b/f/fbfdf348a1d555ecef3933c498dd6de8_240x180.jpg,2017г. 3.3л. автоматседан бензинрульслева 135000км
ВАЗ (Lada) 2107,$ 3 985,https://im.mashina.kg/tachka/images//2/0/e/20ea7e10e9204b09f638e92ce4321097_240x180.jpg,2010г. 1.6л. механикаседан бензинрульслева 62000км
BYD Han,$ 54 000,https://im.mashina.kg/tachka/images//e/b/e/ebeed90061ff7af7aa8e7bbe06bac35e_240x180.jpg,2023г. автоматседан электрорульслева 50км
Subaru Legacy,$ 6 200,https://im.mashina.kg/tachka/images//5/f/5/5f51f0c50c86069571ff4889ff92f5cb_240x180.jpg,2005г. 2л. автоматседан бензинрульсправа 300000км
Mercedes-Benz E-класс,$ 9 500,https://im.mashina.kg/tachka/images//0/3/8/038f3885aea8dbcee1adce150d11f7e7_240x180.jpg,2003г. 3.2л. автоматседан бензинрульслева 230000км
Hyundai Sonata,$ 23 000,https://im.mashina.kg/tachka/images//a/3/4/a34bf15f7f60cf5fa7da6375fbb40b16_240x180.jpg,2017г. 2л. автоматседан бензинрульслева 104349км
Toyota RAV4,$ 27 000,https://im.mashina.kg/tachka/images//b/1/6/b16ab583682ad7c400f1579cd84e225c_240x180.jpg,2020г. 2.5л. автоматвнедорожник5дв. бензинрульслева 40500км
Toyota Wish,$ 7 060,https://im.mashina.kg/tachka/images//e/8/4/e8421d0347195ea8e129c8b949d0da0a_240x180.jpg,2003г. 1.8л. автоматкомпактвэн бензинрульсправа 230000км
Toyota Camry,$ 17 900,https://im.mashina.kg/tachka/images//c/3/9/c3984a3783324dc0b6c79cda27de9dad_240x180.jpg,2017г. 2.5л. вариаторседан гибридрульслева 104450км
Toyota Highlander,$ 45 000,https://im.mashina.kg/tachka/images//c/c/4/cc45f62c9147d6e5f2b13297ec35a6ce_240x180.jpg,2021г. 3.5л. автоматвнедорожник5дв. бензинрульслева 50284км
Subaru Outback,$ 9 800,https://im.mashina.kg/tachka/images//a/4/0/a40dc9af99edb6cc42cf5d6f02af001f_240x180.jpg,2005г. 3л. автоматуниверсал бензинрульсправа 200000км
BMW 5 серии,$ 36 500,https://im.mashina.kg/tachka/images//e/0/c/e0c255f136af4fceb6543079083ef2ed_240x180.jpg,2017г. 2л. автоматседан дизельрульслева 125000км
Honda Inspire,$ 9 000,https://im.mashina.kg/tachka/images//a/e/f/aefd2a5ebc59e8a254c87fb70f0cef0e_240x180.jpg,2004г. 3л. автоматседан бензинрульсправа 20000км
Toyota 4Runner,$ 12 500,https://im.mashina.kg/tachka/images//a/9/d/a9d0e9fb7f925980810a11fe599ade90_240x180.jpg,2003г. 4л. автоматвнедорожник5дв. бензинрульсправа 120000км
Toyota Camry,$ 15 900,https://im.mashina.kg/tachka/images//d/9/8/d988612c8268b35df3031fd900694e66_240x180.jpg,2017г. 2.5л. автоматседан бензинрульслева 99000км
Lexus LX,$ 100 000,https://im.mashina.kg/tachka/images//5/2/3/5237d02af19869d708162a705e3373da_240x180.jpg,2018г. 4.5л. автоматвнедорожник5дв. дизельрульслева 88000км
Lexus RX,$ 25 900,https://im.mashina.kg/tachka/images//3/0/2/302903f8c2f8a8d29bdf17de0f2c16da_240x180.jpg,2012г. 3.5л. автоматвнедорожник5дв. бензинрульслева 164000км
Toyota RAV4,$ 19 900,https://im.mashina.kg/tachka/images//7/9/5/795d195943b914cc9c4412d82aae8e50_240x180.jpg,2017г. 2.5л. автоматвнедорожник5дв. бензинрульслева 45000км
Honda Accord,$ 22 500,https://im.mashina.kg/tachka/images//9/f/b/9fb980aa7dddb8e9ba1b96debf5fe5ef_240x180.jpg,2018г. 1.5л. вариаторседан бензинрульслева 55000км
Subaru Forester,$ 16 500,https://im.mashina.kg/tachka/images//9/7/c/97ced724d1585d1226e0b72865b3957e_240x180.jpg,2019г. 2.5л. вариаторвнедорожник5дв. бензинрульслева 17523км
Toyota Camry,$ 20 700,https://im.mashina.kg/tachka/images//b/7/3/b730e992cf271cfbcb099335dd31d05c_240x180.jpg,2017г. 2.5л. автоматседан бензинрульслева 82000км
BMW X5,$ 92 000,https://im.mashina.kg/tachka/images//3/b/f/3bf38a30a3d37a200fe0c1ed5c3162ae_240x180.jpg,2019г. 3л. автоматвнедорожник5дв. бензинрульслева 68500км
Kia Sorento,$ 13 800,https://im.mashina.kg/tachka/images//a/1/c/a1ce1707e0d5b235937a43cb7adcf125_240x180.jpg,2009г. 2.2л. автоматвнедорожник5дв. дизельрульслева 113000км
Toyota Camry,$ 21 000,https://im.mashina.kg/tachka/images//f/c/8/fc8437641522f4ff095dab995c721a61_240x180.jpg,2015г. 2.5л. автоматседан бензинрульслева 88600км
BMW 5 серии,$ 15 990,https://im.mashina.kg/tachka/images//f/8/4/f847f9c35228a6fb6d1c970bb0a43e6c_240x180.jpg,2011г. 3л. автоматседан бензинрульслева 130000км
Toyota Highlander,$ 28 500,https://im.mashina.kg/tachka/images//d/3/8/d3847eb10711e5de25121585fc355e3b_240x180.jpg,2014г. 3.5л. автоматвнедорожник5дв. бензинрульслева 17000км
Toyota Camry,$ 27 000,https://im.mashina.kg/tachka/images//e/0/8/e08bda5cf23046103f4e7e77be17bb2b_240x180.jpg,2021г. 2.5л. автоматседан бензинрульслева 34500км
Toyota RAV4,$ 33 900,https://im.mashina.kg/tachka/images//d/b/1/db17dacea3f83aca14555de65bc69d42_240x180.jpg,2020г. 2.5л. автоматвнедорожник5дв. бензинрульслева 19200км
Toyota Avalon,$ 21 900,https://im.mashina.kg/tachka/images//d/7/6/d76e6f79b58d19b5d3d2b8d02090db83_240x180.jpg,2016г. 2.5л. вариаторседан гибридрульслева 180000км
Honda Civic,$ 8 700,https://im.mashina.kg/tachka/images//d/1/8/d18e205051a5837f72470021b77b6317_240x180.jpg,2009г. 1.3л. вариаторседан гибридрульслева 212000км
